file,stem,path,source_dir,channel,embedding_dimension,status,error,n_samples_original,n_samples_used,state_dim,subsample_step,dt_used,steps_used,elapsed_sec,dataset_id,sample_id,observable,ordered_coordinate,source_file,Exp1,Exp2,Exp3,Exp4,Exp5,Exp6,Exp7,Exp8,Exp9,Exp10
3dembedded_U__macroscopic_removal_cross_section.npy,3dembedded_U__macroscopic_removal_cross_section,3dembedding_data/3dembedded_U__macroscopic_removal_cross_section.npy,3dembedding_data,U__macroscopic_removal_cross_section,3,ok,,5998,2999,3,2,0.004603362395251549,150,0.012047767639160156,N003,U,macroscopic_removal_cross_section,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,137.1055279821122,37.888572456945305,-179.97604804663362,,,,,,,
3dembedded_U__transmission.npy,3dembedded_U__transmission,3dembedding_data/3dembedded_U__transmission.npy,3dembedding_data,U__transmission,3,ok,,5998,2999,3,2,0.004603362395251549,150,0.012954950332641602,N003,U,transmission,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,150.01404297042163,31.44637885406324,-188.67947802651275,,,,,,,
3dembedded_V__macroscopic_removal_cross_section.npy,3dembedded_V__macroscopic_removal_cross_section,3dembedding_data/3dembedded_V__macroscopic_removal_cross_section.npy,3dembedding_data,V__macroscopic_removal_cross_section,3,ok,,5998,2999,3,2,0.004603362395251549,150,0.012167930603027344,N003,V,macroscopic_removal_cross_section,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,156.45895194567524,31.553349795328035,-201.8459719935633,,,,,,,
3dembedded_V__transmission.npy,3dembedded_V__transmission,3dembedding_data/3dembedded_V__transmission.npy,3dembedding_data,V__transmission,3,ok,,5998,2999,3,2,0.004603362395251549,150,0.012113332748413086,N003,V,transmission,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,158.1870075716908,36.9039066146663,-193.2730283720036,,,,,,,
10dembedded_A__macroscopic_removal_cross_section.npy,10dembedded_A__macroscopic_removal_cross_section,embeddings_4to10/10dembedded_A__macroscopic_removal_cross_section.npy,embeddings_4to10,A__macroscopic_removal_cross_section,10,ok,,5991,2996,10,2,0.004603362395251549,150,0.014549016952514648,N003,A,macroscopic_removal_cross_section,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,117.08974546645726,80.15271546878763,41.020949424010325,28.434731361236565,0.4328780278917808,-20.02749321628538,-40.685633955666574,-71.72892005216397,-114.61060940575744,-213.71978907368543
10dembedded_A__transmission.npy,10dembedded_A__transmission,embeddings_4to10/10dembedded_A__transmission.npy,embeddings_4to10,A__transmission,10,ok,,5991,2996,10,2,0.004603362395251549,150,0.014155387878417969,N003,A,transmission,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,118.90291002893159,75.30200950911143,56.75903183397088,12.174184531354815,7.807562291065365,-24.76901107003623,-36.2578829306295,-74.16205871142532,-109.63502728498227,-233.87929306561898
10dembedded_B__macroscopic_removal_cross_section.npy,10dembedded_B__macroscopic_removal_cross_section,embeddings_4to10/10dembedded_B__macroscopic_removal_cross_section.npy,embeddings_4to10,B__macroscopic_removal_cross_section,10,ok,,5991,2996,10,2,0.004603362395251549,150,0.013936281204223633,N003,B,macroscopic_removal_cross_section,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,118.57695975685597,73.33202168523904,62.83970605975661,23.17255021164165,1.2685798330146127,-17.01461645175312,-37.180620455345405,-82.26444416419396,-112.34741129385725,-238.6966376287708
10dembedded_B__transmission.npy,10dembedded_B__transmission,embeddings_4to10/10dembedded_B__transmission.npy,embeddings_4to10,B__transmission,10,ok,,5991,2996,10,2,0.004603362395251549,150,0.014076948165893555,N003,B,transmission,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,120.28438129851351,86.53561337764597,50.9362023075303,20.2321412209068,-2.310730791764424,-14.469515335515409,-44.48314024223885,-72.38348814786077,-125.17746422348746,-224.47234454439243
10dembedded_C__macroscopic_removal_cross_section.npy,10dembedded_C__macroscopic_removal_cross_section,embeddings_4to10/10dembedded_C__macroscopic_removal_cross_section.npy,embeddings_4to10,C__macroscopic_removal_cross_section,10,ok,,5991,2996,10,2,0.004603362395251549,150,0.014168500900268555,N003,C,macroscopic_removal_cross_section,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,112.43474060522745,77.31187676164107,49.092566575614754,25.603834757487046,9.943574736574384,-21.850100782322023,-48.80620458020386,-74.55596976855449,-98.80878230019341,-248.32713402102704
10dembedded_C__transmission.npy,10dembedded_C__transmission,embeddings_4to10/10dembedded_C__transmission.npy,embeddings_4to10,C__transmission,10,ok,,5991,2996,10,2,0.004603362395251549,150,0.01442265510559082,N003,C,transmission,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,118.78376771318382,65.65289451688808,50.45131520085093,26.76442623677558,5.981479964525731,-17.172132429779644,-44.497029340025826,-67.77588799473818,-96.37179642257145,-256.6881706225542
