sample_id,initial_phase_bin_center,initial_probability
T,0.017857142857142856,0.049199999999999994
T,0.05357142857142857,0.04179999999999999
T,0.08928571428571427,0.04039999999999999
T,0.125,0.03919999999999999
T,0.1607142857142857,0.03239999999999999
T,0.1964285714285714,0.031199999999999995
T,0.23214285714285715,0.029399999999999996
T,0.26785714285714285,0.028399999999999995
T,0.30357142857142855,0.029199999999999993
T,0.33928571428571425,0.028999999999999995
T,0.375,0.027599999999999996
T,0.4107142857142857,0.026999999999999996
T,0.4464285714285714,0.021199999999999997
T,0.4821428571428571,0.019999999999999997
T,0.5178571428571428,0.026999999999999996
T,0.5535714285714286,0.024199999999999996
T,0.5892857142857142,0.024199999999999996
T,0.625,0.027199999999999995
T,0.6607142857142856,0.029799999999999993
T,0.6964285714285714,0.027399999999999994
T,0.7321428571428571,0.03559999999999999
T,0.7678571428571428,0.043399999999999994
T,0.8035714285714286,0.040999999999999995
T,0.8392857142857142,0.05159999999999999
T,0.875,0.05679999999999999
T,0.9107142857142856,0.05839999999999999
T,0.9464285714285714,0.05719999999999999
T,0.9821428571428571,0.05019999999999999
U,0.017857142857142856,0.04639999999999999
U,0.05357142857142857,0.043399999999999994
U,0.08928571428571427,0.04059999999999999
U,0.125,0.033999999999999996
U,0.1607142857142857,0.033999999999999996
U,0.1964285714285714,0.03479999999999999
U,0.23214285714285715,0.028799999999999996
U,0.26785714285714285,0.030199999999999994
U,0.30357142857142855,0.030599999999999995
U,0.33928571428571425,0.026799999999999994
U,0.375,0.029399999999999996
U,0.4107142857142857,0.022999999999999996
U,0.4464285714285714,0.022399999999999996
U,0.4821428571428571,0.023399999999999997
U,0.5178571428571428,0.021999999999999995
U,0.5535714285714286,0.023399999999999997
U,0.5892857142857142,0.025799999999999997
U,0.625,0.026999999999999996
U,0.6607142857142856,0.025999999999999995
U,0.6964285714285714,0.031599999999999996
U,0.7321428571428571,0.03459999999999999
U,0.7678571428571428,0.03479999999999999
U,0.8035714285714286,0.04619999999999999
U,0.8392857142857142,0.05659999999999999
U,0.875,0.05919999999999999
U,0.9107142857142856,0.06259999999999999
U,0.9464285714285714,0.05059999999999999
U,0.9821428571428571,0.05179999999999999
V,0.017857142857142856,0.05159999999999999
V,0.05357142857142857,0.04979999999999999
V,0.08928571428571427,0.044599999999999994
V,0.125,0.03479999999999999
V,0.1607142857142857,0.0326
V,0.1964285714285714,0.03239999999999999
V,0.23214285714285715,0.026399999999999996
V,0.26785714285714285,0.03219999999999999
V,0.30357142857142855,0.028399999999999995
