sample_id,lag_samples,lag_log_energy,mutual_information
R,154,0.42536486651371064,0.9028665416571187
R,166,0.45851018078750627,0.8933006248606503
R,178,0.4916554950613019,0.8898791396918835
R,189,0.5220386998122812,0.90051870781339
R,201,0.5551840140860769,0.8826550063006051
R,213,0.5883293283598725,0.8911706280239677
R,225,0.6214746426336681,0.879929716346477
R,236,0.6518578473846475,0.8747947867795638
R,248,0.6850031616584431,0.8522545721304269
R,260,0.7181484759322387,0.8843059412386252
R,272,0.7512937902060344,0.8884197008239347
R,283,0.7816769949570137,0.888210066078087
R,295,0.8148223092308093,0.8725185003585194
R,307,0.847967623504605,0.8650123881873313
R,319,0.8811129377784006,0.8801585258666211
R,330,0.9114961425293799,0.8700089940745928
R,342,0.9446414568031756,0.8772187091611414
R,354,0.9777867710769712,0.874335156433431
R,366,1.0109320853507668,0.8375898445696013
R,377,1.0413152901017462,0.8352473626248269
R,389,1.0744606043755418,0.8426259325300913
R,401,1.1076059186493374,0.8364524264385693
R,413,1.140751232923133,0.8285225171499757
R,424,1.1711344376741124,0.8270354148971206
R,436,1.204279751947908,0.8426844517584211
R,448,1.2374250662217037,0.8096082728713814
R,460,1.2705703804954993,0.8047692340715011
R,471,1.3009535852464786,0.8293219941969294
R,483,1.3340988995202743,0.8137344914449187
R,495,1.36724421379407,0.8101435174628264
R,507,1.4003895280678655,0.8120139678356146
R,518,1.4307727328188449,0.7823222940734205
R,530,1.4639180470926405,0.7784816117552591
R,542,1.4970633613664361,0.7810307271232002
R,554,1.5302086756402318,0.7641114296698994
R,565,1.560591880391211,0.7900519419577039
R,577,1.5937371946650067,0.7488806005806774
R,589,1.6268825089388024,0.7612544695882377
R,601,1.660027823212598,0.7735074795824959
R,612,1.6904110279635773,0.7456269848624189
R,624,1.723556342237373,0.7448330182236109
R,636,1.7567016565111686,0.7433509009863863
R,648,1.7898469707849642,0.7402476050143569
R,659,1.8202301755359436,0.7217061267832108
R,671,1.8533754898097392,0.7289387851732441
R,683,1.8865208040835348,0.7359046178507116
R,695,1.9196661183573305,0.7247168529542778
R,706,1.9500493231083098,0.7086064379004888
R,718,1.9831946373821054,0.7022034736168532
R,730,2.016339951655901,0.693498247209491
R,742,2.0494852659296967,0.6960130283479993
R,753,2.079868470680676,0.6896712256270083
R,765,2.1130137849544717,0.6665606653122875
R,777,2.1461590992282673,0.6790552344345855
R,789,2.179304413502063,0.6709033251349306
R,800,2.2096876182530423,0.6896466657703133
R,812,2.242832932526838,0.6455030126038066
R,824,2.2759782468006335,0.6860541168495109
R,836,2.309123561074429,0.6531501147242267
R,847,2.3395067658254085,0.6502820289820388
R,859,2.372652080099204,0.66249903470358
R,871,2.4057973943729998,0.6387644763927849
R,883,2.4389427086467954,0.6482774919908723
R,894,2.4693259133977747,0.6189781096076494
R,906,2.5024712276715704,0.6392124056275126
R,918,2.535616541945366,0.6309652270126955
R,930,2.5687618562191616,0.6051520552379763
R,941,2.599145060970141,0.6213466336413696
R,953,2.6322903752439366,0.6178508630713511
R,965,2.6654356895177322,0.6188689862284216
R,977,2.698581003791528,0.5882045102940889
R,988,2.728964208542507,0.5873766196573067
R,1000,2.762109522816303,0.5749917807543126
S,25,0.06905273807040757,0.8283832790779826
S,37,0.1021980523442032,0.8340929142069378
S,48,0.13258125709518254,0.8222452753106371
S,49,0.13534336661799884,0.8099661744704916
S,50,0.13810547614081514,0.8230345238683103
S,51,0.14086758566363144,0.8062257934179291
S,52,0.14362969518644775,0.812253831209655
S,53,0.14639180470926405,0.8300441480797511
S,54,0.14915391423208035,0.8364478051105433
S,55,0.15191602375489666,0.8305064034164129
S,56,0.15467813327771296,0.8312035489603629
S,57,0.15744024280052926,0.8234146867775172
S,58,0.16020235232334556,0.8252783852972829
S,59,0.16296446184616187,0.8169819078248413
S,60,0.16572657136897817,0.8199233357688316
S,61,0.16848868089179447,0.8434606228283137
S,62,0.17125079041461078,0.8433469311263595
S,63,0.17401289993742708,0.8170059591736338
S,64,0.17677500946024338,0.8241338230766662
S,65,0.17953711898305968,0.8156395699257297
S,66,0.182299228505876,0.8241409814668259
S,67,0.1850613380286923,0.8048649293438812
S,68,0.1878234475515086,0.8088793377807448
S,69,0.1905855570743249,0.8411538104553582
S,70,0.1933476665971412,0.855546992406663
S,71,0.1961097761199575,0.8183514619783683
S,72,0.1988718856427738,0.8217417918344987
S,84,0.23201719991656944,0.8381410670023888
S,95,0.26240040466754877,0.7934643734236948
S,107,0.2955457189413444,0.8225106301685514
S,119,0.32869103321514004,0.7990453478310737
S,131,0.3618363474889357,0.7835472036102251
S,142,0.392219552239915,0.8161121833227742
S,154,0.42536486651371064,0.7762592798620345
S,166,0.45851018078750627,0.8261610097149275
