sample_id,observable,embedding_family,embedding_dimension,time_delay,status,error,nn_distance_entropy_bits,ks_metric,n_points_used,state_dim,nearest_distance_mean,nearest_distance_std,nearest_distance_min,nearest_distance_max,nn_cv,log10_nn_mean,nearest_index_gap_mean,nearest_index_gap_median,nearest_index_gap_min,adjacent_neighbor_fraction
C,transmission,Delay embedding,8,1,ok,,4.6151179806108855,4.6151179806108855,4993,8,0.5931135455294355,0.5005946241585518,0.010092527212458794,4.570875254438221,0.8440114509791851,-0.22686215743362367,315.81273783296615,98.0,1.0,0.031243741237732825
C,transmission,Delay embedding,9,1,ok,,4.735856020804493,4.735856020804493,4992,9,0.6850638856091319,0.5645610926562221,0.012792744990841714,4.689380386830874,0.8240999190220231,-0.16426892650140548,313.5598958333333,93.0,1.0,0.03565705128205128
C,transmission,Delay embedding,10,1,ok,,4.827717590800494,4.827717590800494,4991,10,0.7728931450557652,0.6249066327062902,0.017048374723164304,4.79113301840546,0.8085291436507616,-0.11188054452926541,304.13404127429374,85.0,1.0,0.04468042476457624
D,Sigma_R_cm_inv,Delay embedding,2,1,ok,,1.389251667886038,1.389251667886038,4999,2,0.04481091516271783,0.1146380818887763,0.00010612712912566748,3.0661999170970176,2.5582624561436234,-1.3486161864932469,553.5717143428685,187.0,1.0,0.011002200440088018
D,Sigma_R_cm_inv,Delay embedding,3,1,ok,,2.9234083901915495,2.9234083901915495,4998,3,0.1365811286742471,0.23051599048714247,0.0015771777869577738,3.408412893871541,1.687758716910643,-0.8646093026923954,450.8321328531413,139.0,1.0,0.015406162464985995
D,Sigma_R_cm_inv,Delay embedding,4,1,ok,,3.06254194217698,3.06254194217698,4997,4,0.24746209370826142,0.35804270987542974,0.0036198676161552446,5.872448868315227,1.4468588077820412,-0.6064913169473689,401.27996798078846,123.0,1.0,0.01640984590754453
D,Sigma_R_cm_inv,Delay embedding,5,1,ok,,3.514488078418703,3.514488078418703,4996,5,0.3683173027709473,0.4969792005966285,0.0062962937426062505,6.399749778208355,1.3493235231046024,-0.4337778784248375,367.10028022417936,109.0,1.0,0.019415532425940754
D,Sigma_R_cm_inv,Delay embedding,6,1,ok,,3.6625532694515734,3.6625532694515734,4995,6,0.49005751703935796,0.6347087683103108,0.010173122029082627,7.585408529422976,1.29517198745069,-0.30975294473210047,352.46626626626625,106.0,1.0,0.022022022022022022
D,Sigma_R_cm_inv,Delay embedding,7,1,ok,,3.8667909612577596,3.8667909612577596,4994,7,0.606898389086542,0.7557969163608862,0.015817518021856436,7.997951490351906,1.2453434214864365,-0.2168840152716351,339.7116539847817,99.0,1.0,0.022827392871445733
D,Sigma_R_cm_inv,Delay embedding,8,1,ok,,3.983117204332382,3.983117204332382,4993,8,0.7144596591712933,0.855551056054757,0.019922232327853742,8.521653710506405,1.1974798647776967,-0.14602228792755667,328.18285599839777,93.0,1.0,0.03024233927498498
D,Sigma_R_cm_inv,Delay embedding,9,1,ok,,4.137838555741426,4.137838555741426,4992,9,0.8191686997528268,0.9520152179517072,0.025929458092029515,8.580445516492393,1.1621723562409096,-0.08662665034272522,323.27784455128204,91.0,1.0,0.03986378205128205
D,Sigma_R_cm_inv,Delay embedding,10,1,ok,,4.238996421964016,4.238996421964016,4991,10,0.9197765510553157,1.0386595307277673,0.03521774647911832,8.74536794344964,1.1292520227167355,-0.03631766660005529,326.44319775596074,85.0,1.0,0.04808655580044079
D,transmission,Delay embedding,2,1,ok,,1.326587497110106,1.326587497110106,4999,2,0.03599360042918185,0.0819280005422317,0.00011502706428466334,2.8164082088145266,2.2761824202930336,-1.4437747088138224,557.5411082216443,190.0,1.0,0.010402080416083216
D,transmission,Delay embedding,3,1,ok,,3.018461721760659,3.018461721760659,4998,3,0.11296187453487169,0.1528434696541465,0.001582367726788972,2.8386255706001178,1.3530535880547039,-0.9470681093709683,451.01440576230493,141.0,1.0,0.015606242496998799
D,transmission,Delay embedding,4,1,ok,,3.6128198587385865,3.6128198587385865,4997,4,0.20792863885339555,0.23297102816915252,0.0036630212815810565,3.5263784215011267,1.1204374224384415,-0.6820856894090527,406.55953572143284,125.0,1.0,0.0162097258355013
D,transmission,Delay embedding,5,1,ok,,4.19128562879793,4.19128562879793,4996,5,0.3114973036778341,0.32195783836044045,0.006313428567048861,3.5423888397270344,1.0335814614061365,-0.5065457082422814,367.4125300240192,107.0,1.0,0.019015212169735788
D,transmission,Delay embedding,6,1,ok,,4.357820170466741,4.357820170466741,4995,6,0.41576409136903475,0.4106156242408389,0.010209189222360108,4.122996140909227,0.9876168547595573,-0.3811530224438875,349.2726726726727,107.0,1.0,0.02122122122122122
D,transmission,Delay embedding,7,1,ok,,4.580555100171061,4.580555100171061,4994,7,0.5172259063618363,0.49151665712602427,0.01588235759553078,4.315204433197924,0.9502939645510006,-0.28631973068132577,339.68722466960355,101.0,1.0,0.021625951141369643
D,transmission,Delay embedding,8,1,ok,,4.770289898726781,4.770289898726781,4993,8,0.6118494833718274,0.5609747470767407,0.020006774377864446,4.3738499454581286,0.9168508960477679,-0.21335540233217634,325.7814940917284,93.0,1.0,0.029240937312237134
D,transmission,Delay embedding,9,1,ok,,4.921457394129695,4.921457394129695,4992,9,0.70326815960875,0.6267119037188802,0.02583109297094555,4.397012601557589,0.8911421555991508,-0.15287904477743058,325.53305288461536,90.5,1.0,0.03705929487179487
D,transmission,Delay embedding,10,1,ok,,5.020034985123221,5.020034985123221,4991,10,0.7923356876525928,0.6904363702220717,0.034867106049316456,4.500047197217667,0.8713937551730332,-0.10109078254119411,327.8220797435384,86.0,1.0,0.04628330995792426
