Omega,K,rotation_mean_mod1,rotation_std_across_samples,rotation_mean_unwrapped,nearest_low_order_rational,nearest_rational_p,nearest_rational_q,rational_distance,low_order_lock_within_tolerance
0.6730769230769231,0.06041524333826525,0.6731900865330158,1.7674021145602283e-06,0.6731900865330158,0.6666666666666666,2,3,0.006523419866349189,True
0.6826923076923077,0.06041524333826525,0.6827848678030543,2.3518730850890198e-07,0.6827848678030543,0.6666666666666666,2,3,0.016118201136387622,False
0.6923076923076923,0.06041524333826525,0.6924021971595992,3.29086975010681e-06,0.6924021971595992,0.7142857142857143,5,7,0.021883517126115137,False
0.701923076923077,0.06041524333826525,0.7020242867799892,3.097431878073146e-06,0.7020242867799892,0.7142857142857143,5,7,0.01226142750572512,False
0.7115384615384616,0.06041524333826525,0.7116474743321827,7.480872248879659e-07,0.7116474743321827,0.7142857142857143,5,7,0.002638239953531629,True
0.7211538461538461,0.06041524333826525,0.7213050068485255,2.1755617990721524e-06,0.7213050068485255,0.7142857142857143,5,7,0.007019292562811197,True
0.7307692307692308,0.06041524333826525,0.7308776241145888,3.4245435156389546e-07,0.7308776241145888,0.7142857142857143,5,7,0.016591909828874485,False
0.7403846153846154,0.06041524333826525,0.7405018770921178,4.487484344011893e-07,0.7405018770921178,0.75,3,4,0.009498122907882212,True
0.75,0.06041524333826525,0.7501754070178749,2.5847110710735504e-06,0.7501754070178749,0.75,3,4,0.00017540701787488455,True
0.7596153846153847,0.06041524333826525,0.7597652781112997,1.001741112454656e-06,0.7597652781112997,0.75,3,4,0.00976527811129968,True
0.7692307692307693,0.06041524333826525,0.7693914559373984,3.7329063267690167e-06,0.7693914559373984,0.75,3,4,0.01939145593739844,False
0.7788461538461539,0.06041524333826525,0.7790087828155038,4.214597676002244e-06,0.7790087828155038,0.8,4,5,0.020991217184496258,False
0.7884615384615385,0.06041524333826525,0.7886446380382136,2.9846353263441004e-07,0.7886446380382136,0.8,4,5,0.011355361961786437,False
0.7980769230769231,0.06041524333826525,0.7983145553983642,2.2293034930787794e-06,0.7983145553983642,0.8,4,5,0.0016854446016358882,True
0.8076923076923077,0.06041524333826525,0.8078700091324929,2.198744711623199e-07,0.8078700091324929,0.8,4,5,0.007870009132492806,True
0.8173076923076924,0.06041524333826525,0.8175134046034782,7.468332290616015e-07,0.8175134046034782,0.8333333333333334,5,6,0.01581992872985516,False
0.826923076923077,0.06041524333826525,0.8271997498726948,4.297934103940025e-06,0.8271997498726948,0.8333333333333334,5,6,0.006133583460638525,True
0.8365384615384616,0.06041524333826525,0.8367900878555182,2.2434357720565146e-06,0.8367900878555182,0.8333333333333334,5,6,0.0034567545221848572,True
0.8461538461538463,0.06041524333826525,0.8464336661658258,4.914750413408577e-06,0.8464336661658258,0.8571428571428571,6,7,0.010709190977031269,False
0.8557692307692308,0.06041524333826525,0.8560396243413534,6.05672105859391e-06,0.8560396243413534,0.8571428571428571,6,7,0.0011032328015037063,True
0.8653846153846154,0.06041524333826525,0.8657081702901501,3.016264838910993e-08,0.8657081702901501,0.8571428571428571,6,7,0.00856531314729303,True
0.875,0.06041524333826525,0.8754168823094545,1.7052147789560599e-06,0.8754168823094545,0.875,7,8,0.00041688230945446936,True
0.8846153846153847,0.06041524333826525,0.8849451432673882,1.751145781289439e-06,0.8849451432673882,0.875,7,8,0.009945143267388157,True
0.8942307692307693,0.06041524333826525,0.8946273425628668,2.0645221735732352e-06,0.8946273425628668,0.875,7,8,0.0196273425628668,False
0.9038461538461539,0.06041524333826525,0.9043498259000045,9.71504324106568e-06,0.9043498259000045,0.875,7,8,0.029349825900004456,False
0.9134615384615385,0.06041524333826525,0.9139882903669575,3.6919299137701314e-06,0.9139882903669575,0.875,7,8,0.0389882903669575,False
0.9230769230769231,0.06041524333826525,0.9237162712737125,9.750485461107276e-06,0.9237162712737125,0.875,7,8,0.048716271273712475,False
0.9326923076923077,0.06041524333826525,0.9332709317215225,6.9153816869374695e-06,0.9332709317215225,0.875,7,8,0.058270931721522534,False
0.9423076923076924,0.06041524333826525,0.9430679498727209,2.6396895993889175e-07,0.9430679498727209,1.0,1,1,0.05693205012727909,False
0.951923076923077,0.06041524333826525,0.9530208233262454,1.428550898955134e-05,0.9530208233262454,1.0,1,1,0.04697917667375462,False
0.9615384615384616,0.06041524333826525,0.9627565319965488,2.9796767418608314e-06,0.9627565319965488,1.0,1,1,0.03724346800345124,False
0.9711538461538463,0.06041524333826525,0.9730666095435088,1.9908404824703355e-05,0.9730666095435088,1.0,1,1,0.026933390456491235,False
0.9807692307692308,0.06041524333826525,0.9833536389426225,3.168785131599103e-05,0.9833536389426225,1.0,1,1,0.01664636105737749,False
