subsample_index,phase_cycles,cross_sample_resultant_length
549,0.9132880548188843,0.9644229876048132
550,0.939637728839491,0.9473332436224293
551,0.9168299176701519,0.9752371145485365
552,0.8816160009754967,0.9497477012581123
553,0.8089481194678835,0.9603478452893649
554,0.9279379270167702,0.9455370819837686
555,0.9144738532352343,0.9341648311254538
556,0.9687847769779648,0.9646683491429974
557,0.7759588110019779,0.9037218274301326
558,0.8757690137131985,0.9867272833894247
559,0.9534234249827835,0.8895006444483562
560,0.9388711563921639,0.877128962696396
561,0.8581930857003648,0.9508133341270381
562,0.8738100132046734,0.9658368970707066
563,0.9141403679512706,0.9752714010320691
564,0.8512762245291529,0.8929929878800574
565,0.9235383004596649,0.9747654414377225
566,0.9348867372779048,0.9462740418528585
567,0.9224781744787903,0.9382356333861425
568,0.8473722350169388,0.9732847760600716
569,0.963671208265368,0.9027960435556542
570,0.7983214344290422,0.7613534851294907
571,0.94096671214521,0.9470516279671887
572,0.8709779660578887,0.9728133007107438
573,0.892864573854698,0.9880744232265778
574,0.8936292224319333,0.9739591850938522
575,0.9789633181458165,0.9065645414373367
576,0.9149027077996091,0.9377183451803263
577,0.84423464863795,0.9445159278195046
578,0.8489584561759216,0.9918691949958008
579,0.9292321371361,0.9709617732448702
580,0.9305397192848346,0.9615242144986123
581,0.9550849137354082,0.9629876289527517
582,0.929112460320874,0.8524885907747896
583,0.8867677580204861,0.927213863427869
584,0.8832488117395227,0.9129773556260417
585,0.9048953653447013,0.9480888803765107
586,0.8943780718266598,0.7601490378217074
587,0.9367943538454625,0.9302638364403005
588,0.9245005521794085,0.9571699753012162
589,0.9173673490251295,0.9527619632056068
590,0.9245061927572484,0.919763361820876
591,0.8075685679424507,0.9059400260021173
592,0.8619784995098585,0.9644436207198578
593,0.9711424806202598,0.9822403891662586
594,0.9549387253295273,0.856533579261467
595,0.9102693965530483,0.8760861990060863
596,0.8860996716183784,0.9618218328395187
597,0.8602372662483205,0.899738630144406
598,0.9838009466349606,0.9324693455632336
599,0.9757558247329946,0.9372655640174117
600,0.003830465882919118,0.8190933388609787
601,0.9787582973926878,0.9640976740845293
602,0.8313508502944904,0.4187181097166611
603,0.8891906668638205,0.9370133081485341
604,0.8144716428500032,0.852573201557066
605,0.8923950982993429,0.9155923456141443
606,0.9439440755833657,0.9416045382047648
607,0.021447982296804256,0.8967326033375619
608,0.9297170512629818,0.9552847935126179
609,0.841020642873632,0.9599370936742687
610,0.9681806232012484,0.9599742260825148
611,0.969015784065073,0.9325033929469466
612,0.015527909935080698,0.8685334814530647
613,0.9583707315193433,0.900951973510585
614,0.9979354642871379,0.8415339870222995
615,0.8915239930487341,0.9435665339423916
616,0.9177244249344447,0.9165406935861375
617,0.024393558773079763,0.9355990955459575
618,0.044813382383576676,0.8609369906834449
619,0.7611988246585599,0.7133610144923305
620,0.8616040233496349,0.9546196798645264
621,0.9954833415663578,0.864764092411542
622,0.8396662786601463,0.949658678715773
623,0.9714987813840992,0.926522261651602
624,0.847697394368223,0.9570591598924878
625,0.8997356616948667,0.9477168483759995
626,0.03620592545058446,0.9322657319390296
627,0.9191658603336977,0.9348627784648595
628,0.011375353910971412,0.7600226282303408
629,0.9361629195170634,0.9443459630384404
630,0.006239413366074226,0.9206011634453652
631,0.9710628244607946,0.7048861921591036
632,0.9634570983763635,0.8721999229914337
633,0.9708886512794128,0.9422360519556512
634,0.9537934204426964,0.903908696263815
635,0.9164478301752046,0.9392438851863882
636,0.8566594468554021,0.7248732104320879
637,0.8987783772251939,0.8024366754335718
638,0.03777191475226046,0.9282617017067736
639,0.9436709109386131,0.751340111668839
640,0.9542688953237619,0.9292506643370804
641,0.9913555105756796,0.9673537228548202
642,0.9685150371969967,0.8205303965164067
643,0.9809808953617689,0.724278432800291
644,0.9673149111345456,0.9166847027306138
645,0.006187103546104612,0.9292083429106014
646,0.968290547241865,0.8172942745507245
647,0.9500265474281526,0.752007256528634
648,0.9884862291673123,0.8942363519601677
649,0.060491854622450936,0.9500234976088964
650,0.02105316777875703,0.9497801833868496
651,0.05118572212214797,0.8201464084426331
652,0.2017378603705299,0.17476762612233626
653,0.09044972961902469,0.47795190938421067
654,0.9262600348866581,0.8176130208446732
655,0.03241384576989944,0.8988224513726724
