speed_mode,a,b_cycles_per_model_unit,drive_omega_rad_per_model_unit,mean_sync,std_sync,drive_lock,collective_drive_lock,frequency_error,sync_gain_vs_no_drive,sync_variability_change_vs_no_drive,drive_lock_gain_vs_no_drive,frequency_error_improvement_vs_no_drive
fast,0.397325941853198,1.3952274229036215,8.766472443762073,0.3683108163445646,0.16329221001814148,0.232454968966612,0.41351686502063634,2.297327532130426,-0.005290170024706886,0.013587171115249957,0.09545352195737192,0.10151873729060013
fast,0.397325941853198,1.4347501651939836,9.014801157420322,0.3701420412929811,0.16678831207359734,0.1399235625503678,0.3090905209998212,2.5651404008756495,-0.003458945076290354,0.01708327317070582,0.06778519384762706,0.08203458220362636
fast,0.397325941853198,1.4742729074843457,9.26312987107857,0.3868944691606888,0.15014639352628478,0.09269256036182628,0.21859162584029573,2.8505369360242185,0.013293482791417344,0.0004413546233932586,0.019899801822239147,0.044966760713304854
fast,0.5959889127797969,0.5257270925156543,3.303240743280602,0.3337997370302429,0.12542157426579334,0.12503085969372593,0.27828069672970046,2.9664495304171004,-0.039801249339028566,-0.024283464637098184,0.08731780361126668,0.09793590064334445
fast,0.5959889127797969,0.5652498348060164,3.5515694569388505,0.34833583525993517,0.1562273865238081,0.12975688817308878,0.2599909055885507,2.695992304202866,-0.025265151109336303,0.00652234762091658,0.0759446972231022,0.12006441319933003
fast,0.5959889127797969,0.6047725770963785,3.7998981705970993,0.37420099918956706,0.1530476796733928,0.17409439050080755,0.4238018543172336,2.4437511524325757,0.0006000128202955923,0.0033426407705012817,0.13601339584888822,0.12397685131137148
fast,0.5959889127797969,0.6442953193867407,4.048226884255348,0.38595572038095893,0.153599723545832,0.1876601651080404,0.40791830770083193,2.1765837170968467,0.012354734011687463,0.003894684642940488,0.11291730640851125,0.1428155729888525
fast,0.5959889127797969,0.6838180616771029,4.296555597913597,0.3512627526119642,0.1767282042031696,0.2445764573032372,0.5908342235985937,1.905900447329662,-0.022338233757307258,0.027023165300278068,0.18200118746690266,0.1651701290977876
fast,0.5959889127797969,0.723340803967465,4.544884311571845,0.4262060659811459,0.1912515150052526,0.3555434507678642,0.7169795479127702,1.5851784266605584,0.05260507961187444,0.04154647610236106,0.23285271861930457,0.23756343610864272
fast,0.5959889127797969,0.7628635462578272,4.793213025230094,0.4940030538334176,0.19605217230446975,0.48091997986213275,0.8683561287219428,1.3044296509309585,0.12040206746414611,0.04634713340157823,0.40170334647656813,0.2699834981799938
fast,0.5959889127797969,0.8023862885481894,5.041541738888343,0.5634410539557756,0.17181519270966444,0.6017475085237992,0.9217204873161408,1.0459780877411742,0.18984006758650412,0.02211015380677292,0.3290964426515074,0.2801063477115293
fast,0.5959889127797969,0.8419090308385515,5.289870452546592,0.5451099715505715,0.15820459438002007,0.6533010921506007,0.9214240372197842,0.8891994558323658,0.17150898518130003,0.00849955547712855,0.20583318949238627,0.1928952461561152
fast,0.5959889127797969,0.8814317731289136,5.538199166204841,0.6077741272142423,0.14120145959622937,0.7523503564861858,0.9670082741249892,0.6332472959211535,0.23417314084497082,-0.008503579306662151,0.33220999906550175,0.3539026833230403
fast,0.5959889127797969,0.9209545154192758,5.7865278798630895,0.6451967080882177,0.1039686365215164,0.8088003977932686,0.9827459250565554,0.5107477926609572,0.27159572171894625,-0.04573640238137512,0.6256787596151014,0.4488101072878756
