Omega,K,proportion_fixed_point_locked
0.5490196078431373,1.9711953904877133,0.0
0.5686274509803921,1.9711953904877133,0.0
0.5882352941176471,1.9711953904877133,0.0
0.6078431372549019,1.9711953904877133,0.0
0.6274509803921569,1.9711953904877133,0.0
0.6470588235294118,1.9711953904877133,0.0
0.6666666666666666,1.9711953904877133,0.0
0.6862745098039216,1.9711953904877133,0.005714285714285714
0.7058823529411764,1.9711953904877133,0.896
0.7254901960784313,1.9711953904877133,0.9857142857142858
0.7450980392156863,1.9711953904877133,0.9982857142857143
0.7647058823529411,1.9711953904877133,1.0
0.7843137254901961,1.9711953904877133,1.0
0.803921568627451,1.9711953904877133,0.9988571428571429
0.8235294117647058,1.9711953904877133,0.7417142857142857
0.8431372549019608,1.9711953904877133,0.03542857142857143
0.8627450980392157,1.9711953904877133,0.0034285714285714284
0.8823529411764706,1.9711953904877133,0.001142857142857143
0.9019607843137255,1.9711953904877133,0.0
0.9215686274509803,1.9711953904877133,0.0
0.9411764705882353,1.9711953904877133,0.0
0.9607843137254902,1.9711953904877133,0.0
0.9803921568627451,1.9711953904877133,0.0005714285714285715
1.0,1.9711953904877133,0.0
0.0,2.2175948142986774,0.0
0.0196078431372549,2.2175948142986774,0.0
0.0392156862745098,2.2175948142986774,0.0
0.058823529411764705,2.2175948142986774,0.0
0.0784313725490196,2.2175948142986774,0.0
0.09803921568627451,2.2175948142986774,0.0
0.11764705882352941,2.2175948142986774,0.0
0.13725490196078433,2.2175948142986774,0.0
0.1568627450980392,2.2175948142986774,0.0
0.1764705882352941,2.2175948142986774,0.0
0.19607843137254902,2.2175948142986774,0.0005714285714285715
0.21568627450980393,2.2175948142986774,0.009714285714285713
0.23529411764705882,2.2175948142986774,0.23657142857142857
0.2549019607843137,2.2175948142986774,0.8674285714285714
0.27450980392156865,2.2175948142986774,0.9582857142857143
0.29411764705882354,2.2175948142986774,0.984
0.3137254901960784,2.2175948142986774,0.9982857142857143
0.3333333333333333,2.2175948142986774,0.916
0.3529411764705882,2.2175948142986774,0.002285714285714286
0.37254901960784315,2.2175948142986774,0.0
0.39215686274509803,2.2175948142986774,0.0
0.4117647058823529,2.2175948142986774,0.0
0.43137254901960786,2.2175948142986774,0.0
0.45098039215686275,2.2175948142986774,0.0
0.47058823529411764,2.2175948142986774,0.0
0.49019607843137253,2.2175948142986774,0.0
0.5098039215686274,2.2175948142986774,0.0
0.5294117647058824,2.2175948142986774,0.0
0.5490196078431373,2.2175948142986774,0.0
0.5686274509803921,2.2175948142986774,0.0
0.5882352941176471,2.2175948142986774,0.0
0.6078431372549019,2.2175948142986774,0.0
0.6274509803921569,2.2175948142986774,0.0
0.6470588235294118,2.2175948142986774,0.006285714285714286
0.6666666666666666,2.2175948142986774,0.9268571428571428
0.6862745098039216,2.2175948142986774,0.9954285714285714
0.7058823529411764,2.2175948142986774,0.9891428571428571
0.7254901960784313,2.2175948142986774,0.9697142857142858
0.7450980392156863,2.2175948142986774,0.9034285714285715
0.7647058823529411,2.2175948142986774,0.29542857142857143
0.7843137254901961,2.2175948142986774,0.005714285714285714
0.803921568627451,2.2175948142986774,0.0005714285714285715
0.8235294117647058,2.2175948142986774,0.0
0.8431372549019608,2.2175948142986774,0.0
0.8627450980392157,2.2175948142986774,0.0
0.8823529411764706,2.2175948142986774,0.0
0.9019607843137255,2.2175948142986774,0.0
0.9215686274509803,2.2175948142986774,0.0
0.9411764705882353,2.2175948142986774,0.0
0.9607843137254902,2.2175948142986774,0.0
0.9803921568627451,2.2175948142986774,0.0
1.0,2.2175948142986774,0.0
0.0,2.463994238109642,0.0
0.0196078431372549,2.463994238109642,0.0
0.0392156862745098,2.463994238109642,0.0
0.058823529411764705,2.463994238109642,0.0
0.0784313725490196,2.463994238109642,0.0
0.09803921568627451,2.463994238109642,0.0
0.11764705882352941,2.463994238109642,0.0
0.13725490196078433,2.463994238109642,0.0
0.1568627450980392,2.463994238109642,0.0
0.1764705882352941,2.463994238109642,0.0
0.19607843137254902,2.463994238109642,0.0
0.21568627450980393,2.463994238109642,0.0
0.23529411764705882,2.463994238109642,0.0
0.2549019607843137,2.463994238109642,0.0
0.27450980392156865,2.463994238109642,0.002285714285714286
0.29411764705882354,2.463994238109642,0.4948571428571429
0.3137254901960784,2.463994238109642,0.9125714285714286
0.3333333333333333,2.463994238109642,0.6662857142857143
0.3529411764705882,2.463994238109642,0.9074285714285715
0.37254901960784315,2.463994238109642,0.6794285714285714
