target_Z,target_A,target_symbol,MT,source_file,section_keys
8,17,O,5,g_8-O-17_0828.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
3,7,Li,5,g_3-Li-7_0328.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
68,170,Er,5,g_68-Er-170_6849.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
46,105,Pd,5,g_46-Pd-105_4634.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
28,62,Ni,5,g_28-Ni-62_2837.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
16,34,S,5,g_16-S-34_1631.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
74,180,W,5,g_74-W-180_7425.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
48,114,Cd,5,g_48-Cd-114_4849.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
88,226,Ra,5,g_88-Ra-226_8834.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
88,226,Ra,18,g_88-Ra-226_8834.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
74,182,W,5,g_74-W-182_7431.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
7,14,N,16,g_7-N-14_0725.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
7,14,N,23,g_7-N-14_0725.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
7,14,N,28,g_7-N-14_0725.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
7,14,N,32,g_7-N-14_0725.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
7,14,N,34,g_7-N-14_0725.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
7,14,N,35,g_7-N-14_0725.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
7,14,N,36,g_7-N-14_0725.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
7,14,N,44,g_7-N-14_0725.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
7,14,N,50,g_7-N-14_0725.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
7,14,N,108,g_7-N-14_0725.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
7,14,N,109,g_7-N-14_0725.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
7,14,N,111,g_7-N-14_0725.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
