run_number,extension,title,normalized_title,sample_name,start_time,end_time,proton_charge,good_frames,source_file,size_bytes
44731,.txt,,,,,,,,2000209/VESUVIO00044731_ICPdebug.txt,8292
44731,.txt,,,,,,,,2000209/VESUVIO00044731_ICPputlog.txt,353
44731,.txt,,,,,,,,2000209/VESUVIO00044731_ICPalarm.txt,130
44732,.log,,,,,,,,2000209/VESUVIO00044732.log,8568
44732,.nxs,Al window in tank with GEM,al window in tank with gem,,2021-05-08T23:19:11,2021-05-09T00:23:17,180.0673828125,152712.0,2000209/VESUVIO00044732.nxs,2293306
44732,.raw,,,,,,,,2000209/VESUVIO00044732.raw,2140672
44732,.txt,,,,,,,,2000209/VESUVIO00044732_ICPevent.txt,288
44732,.txt,,,,,,,,2000209/VESUVIO00044732_ICPputlog.txt,353
44732,.txt,,,,,,,,2000209/VESUVIO00044732_ICPalarm.txt,0
44732,.txt,,,,,,,,2000209/VESUVIO00044732_ICPdebug.txt,8299
44733,.log,,,,,,,,2000209/VESUVIO00044733.log,8612
44733,.nxs,Al window in tank with GEM,al window in tank with gem,,2021-05-09T00:24:24,2021-05-09T01:27:57,180.0621337890625,152544.0,2000209/VESUVIO00044733.nxs,2292980
44733,.raw,,,,,,,,2000209/VESUVIO00044733.raw,2140160
44733,.txt,,,,,,,,2000209/VESUVIO00044733_ICPputlog.txt,353
44733,.txt,,,,,,,,2000209/VESUVIO00044733_ICPdebug.txt,8263
44733,.txt,,,,,,,,2000209/VESUVIO00044733_ICPalarm.txt,0
44733,.txt,,,,,,,,2000209/VESUVIO00044733_ICPevent.txt,288
44734,.log,,,,,,,,2000209/VESUVIO00044734.log,8554
44734,.nxs,Al window in tank with GEM,al window in tank with gem,,2021-05-09T01:29:04,2021-05-09T02:32:39,180.0618896484375,152585.0,2000209/VESUVIO00044734.nxs,2293666
44734,.raw,,,,,,,,2000209/VESUVIO00044734.raw,2141184
44734,.txt,,,,,,,,2000209/VESUVIO00044734_ICPalarm.txt,0
44734,.txt,,,,,,,,2000209/VESUVIO00044734_ICPdebug.txt,8280
44734,.txt,,,,,,,,2000209/VESUVIO00044734_ICPevent.txt,288
44734,.txt,,,,,,,,2000209/VESUVIO00044734_ICPputlog.txt,353
44735,.log,,,,,,,,2000209/VESUVIO00044735.log,8503
44735,.nxs,Al window in tank with GEM,al window in tank with gem,,2021-05-09T02:33:46,2021-05-09T03:37:21,180.0652313232422,152610.0,2000209/VESUVIO00044735.nxs,2293624
44735,.raw,,,,,,,,2000209/VESUVIO00044735.raw,2140160
44735,.txt,,,,,,,,2000209/VESUVIO00044735_ICPevent.txt,288
44735,.txt,,,,,,,,2000209/VESUVIO00044735_ICPalarm.txt,0
44735,.txt,,,,,,,,2000209/VESUVIO00044735_ICPdebug.txt,8266
44735,.txt,,,,,,,,2000209/VESUVIO00044735_ICPputlog.txt,353
44736,.log,,,,,,,,2000209/VESUVIO00044736.log,8671
44736,.nxs,Al window in tank with GEM,al window in tank with gem,,2021-05-09T03:38:28,2021-05-09T04:42:04,180.06640625,152664.0,2000209/VESUVIO00044736.nxs,2292577
44736,.raw,,,,,,,,2000209/VESUVIO00044736.raw,2141696
44736,.txt,,,,,,,,2000209/VESUVIO00044736_ICPevent.txt,288
44736,.txt,,,,,,,,2000209/VESUVIO00044736_ICPalarm.txt,0
44736,.txt,,,,,,,,2000209/VESUVIO00044736_ICPputlog.txt,353
44736,.txt,,,,,,,,2000209/VESUVIO00044736_ICPdebug.txt,8285
44737,.log,,,,,,,,2000209/VESUVIO00044737.log,9186
44737,.nxs,Al window in tank with GEM,al window in tank with gem,,2021-05-09T04:43:11,2021-05-09T05:46:48,180.0602569580078,152568.0,2000209/VESUVIO00044737.nxs,2292662
44737,.raw,,,,,,,,2000209/VESUVIO00044737.raw,2140672
44737,.txt,,,,,,,,2000209/VESUVIO00044737_ICPputlog.txt,353
44737,.txt,,,,,,,,2000209/VESUVIO00044737_ICPevent.txt,288
44737,.txt,,,,,,,,2000209/VESUVIO00044737_ICPalarm.txt,0
44737,.txt,,,,,,,,2000209/VESUVIO00044737_ICPdebug.txt,8248
44738,.log,,,,,,,,2000209/VESUVIO00044738.log,9121
44738,.nxs,Al window in tank with GEM,al window in tank with gem,,2021-05-09T05:47:54,2021-05-09T06:51:33,180.0648193359375,152737.0,2000209/VESUVIO00044738.nxs,2292647
44738,.raw,,,,,,,,2000209/VESUVIO00044738.raw,2142208
44738,.txt,,,,,,,,2000209/VESUVIO00044738_ICPevent.txt,288
44738,.txt,,,,,,,,2000209/VESUVIO00044738_ICPdebug.txt,8268
44738,.txt,,,,,,,,2000209/VESUVIO00044738_ICPputlog.txt,353
44738,.txt,,,,,,,,2000209/VESUVIO00044738_ICPalarm.txt,0
44739,.log,,,,,,,,2000209/VESUVIO00044739.log,9002
44739,.nxs,Al window in tank with GEM,al window in tank with gem,,2021-05-09T06:52:40,2021-05-09T07:56:18,180.06509399414062,152664.0,2000209/VESUVIO00044739.nxs,2292159
44739,.raw,,,,,,,,2000209/VESUVIO00044739.raw,2141184
44739,.txt,,,,,,,,2000209/VESUVIO00044739_ICPputlog.txt,353
44739,.txt,,,,,,,,2000209/VESUVIO00044739_ICPevent.txt,288
44739,.txt,,,,,,,,2000209/VESUVIO00044739_ICPalarm.txt,0
44739,.txt,,,,,,,,2000209/VESUVIO00044739_ICPdebug.txt,8303
44740,.log,,,,,,,,2000209/VESUVIO00044740.log,8987
44740,.nxs,Al window in tank with GEM,al window in tank with gem,,2021-05-09T07:57:25,2021-05-09T09:01:03,180.06317138671875,152497.0,2000209/VESUVIO00044740.nxs,2299577
44740,.raw,,,,,,,,2000209/VESUVIO00044740.raw,2142208
44740,.txt,,,,,,,,2000209/VESUVIO00044740_ICPevent.txt,288
44740,.txt,,,,,,,,2000209/VESUVIO00044740_ICPdebug.txt,8240
44740,.txt,,,,,,,,2000209/VESUVIO00044740_ICPalarm.txt,0
44740,.txt,,,,,,,,2000209/VESUVIO00044740_ICPputlog.txt,353
44741,.log,,,,,,,,2000209/VESUVIO00044741.log,8308
44741,.nxs,Al window in tank with GEM,al window in tank with gem,,2021-05-09T09:02:10,2021-05-09T10:05:45,180.06532287597656,152588.0,2000209/VESUVIO00044741.nxs,2293256
44741,.raw,,,,,,,,2000209/VESUVIO00044741.raw,2140672
44741,.txt,,,,,,,,2000209/VESUVIO00044741_ICPevent.txt,288
44741,.txt,,,,,,,,2000209/VESUVIO00044741_ICPalarm.txt,0
44741,.txt,,,,,,,,2000209/VESUVIO00044741_ICPputlog.txt,353
44741,.txt,,,,,,,,2000209/VESUVIO00044741_ICPdebug.txt,8276
44742,.log,,,,,,,,2000209/VESUVIO00044742.log,4230
44742,.nxs,Al window in tank with GEM,al window in tank with gem,,2021-05-09T10:06:52,2021-05-09T10:34:19,77.75218963623047,65883.0,2000209/VESUVIO00044742.nxs,2040185
44742,.raw,,,,,,,,2000209/VESUVIO00044742.raw,2017280
44742,.txt,,,,,,,,2000209/VESUVIO00044742_ICPevent.txt,285
44742,.txt,,,,,,,,2000209/VESUVIO00044742_ICPalarm.txt,0
44742,.txt,,,,,,,,2000209/VESUVIO00044742_ICPputlog.txt,353
44742,.txt,,,,,,,,2000209/VESUVIO00044742_ICPdebug.txt,8277
44743,.log,,,,,,,,2000209/VESUVIO00044743.log,3956
44743,.nxs,Concrete sample 2 (4 blocks) in tank with GEM,concrete sample 2 (4 blocks) in tank with gem,,2021-05-09T11:02:34,2021-05-09T11:09:39,20.065988540649414,17009.0,2000209/VESUVIO00044743.nxs,1985624
44743,.raw,,,,,,,,2000209/VESUVIO00044743.raw,2159104
