row_index,geometry_id,source_normalization_id,energy_MeV,edge_side,edge_probe_policy,edge_probe_offset_eV,mu_over_rho_cm2_g,run_id,mc_mu_over_rho_cm2_g,generated_event_count,geant4_evaluation_energy_MeV,geant4_evaluation_energy_MeV_mc_reported,geant4_evaluation_energy_abs_diff_MeV,residual,relative_residual,percent_difference,log_residual
35,P001_INFINITE_MEDIUM_COEFFICIENT,NOT_APPLICABLE,0.2,none,none,0.0,0.1282,P001_G4_EM_COEFFICIENTS,0.1281817307067136,0,0.2,0.2,0.0,-1.826929328641036e-05,-0.00014250618788151604,-0.014250618788151604,-0.00014251634285304275
36,P001_INFINITE_MEDIUM_COEFFICIENT,NOT_APPLICABLE,0.3,none,none,0.0,0.1097,P001_G4_EM_COEFFICIENTS,0.1095220467177008,0,0.3,0.2999999999999999,1.1102230246251565e-16,-0.00017795328229920637,-0.0016221812424722548,-0.16221812424722548,-0.001623498403105554
37,P001_INFINITE_MEDIUM_COEFFICIENT,NOT_APPLICABLE,0.4,none,none,0.0,0.09783,P001_G4_EM_COEFFICIENTS,0.0977575953198187,0,0.4,0.4,0.0,-7.240468018129831e-05,-0.0007401071264571022,-0.07401071264571023,-0.0007403811409448206
38,P001_INFINITE_MEDIUM_COEFFICIENT,NOT_APPLICABLE,0.5,none,none,0.0,0.08915,P001_G4_EM_COEFFICIENTS,0.0890761100840698,0,0.5,0.5,0.0,-7.388991593018646e-05,-0.0008288268752684965,-0.08288268752684966,-0.0008291705421698102
39,P001_INFINITE_MEDIUM_COEFFICIENT,NOT_APPLICABLE,0.6,none,none,0.0,0.08236,P001_G4_EM_COEFFICIENTS,0.0821812476741551,0,0.6,0.5999999999999999,1.1102230246251565e-16,-0.00017875232584489698,-0.0021703779242945235,-0.21703779242945234,-0.002172736607902861
40,P001_INFINITE_MEDIUM_COEFFICIENT,NOT_APPLICABLE,0.8,none,none,0.0,0.07227,P001_G4_EM_COEFFICIENTS,0.0721883534681198,0,0.8,0.8,0.0,-8.164653188019733e-05,-0.0011297430729237212,-0.11297430729237212,-0.0011303817136743802
41,P001_INFINITE_MEDIUM_COEFFICIENT,NOT_APPLICABLE,1.0,none,none,0.0,0.06495,P001_G4_EM_COEFFICIENTS,0.0648693377014735,0,1.0,1.0,0.0,-8.066229852649043e-05,-0.0012419137571438095,-0.12419137571438095,-0.0012426855711176392
42,P001_INFINITE_MEDIUM_COEFFICIENT,NOT_APPLICABLE,1.25,none,none,0.0,0.05807,P001_G4_EM_COEFFICIENTS,0.0579826888757166,0,1.25,1.25,0.0,-8.731112428339571e-05,-0.0015035495829756453,-0.15035495829756454,-0.0015046810479345002
43,P001_INFINITE_MEDIUM_COEFFICIENT,NOT_APPLICABLE,1.5,none,none,0.0,0.05288,P001_G4_EM_COEFFICIENTS,0.0527080512597953,0,1.5,1.5,0.0,-0.00017194874020470124,-0.003251678143054108,-0.3251678143054108,-0.003256976336892198
44,P001_INFINITE_MEDIUM_COEFFICIENT,NOT_APPLICABLE,2.0,none,none,0.0,0.04557,P001_G4_EM_COEFFICIENTS,0.0454512446108197,0,2.0,2.0,0.0,-0.00011875538918029727,-0.0026059993236843817,-0.26059993236843815,-0.0026094008507918944
45,P001_INFINITE_MEDIUM_COEFFICIENT,NOT_APPLICABLE,3.0,none,none,0.0,0.03701,P001_G4_EM_COEFFICIENTS,0.0368864388110007,0,3.0,3.0,0.0,-0.00012356118899930352,-0.003338589273150595,-0.3338589273150595,-0.0033441747976309436
46,P001_INFINITE_MEDIUM_COEFFICIENT,NOT_APPLICABLE,4.0,none,none,0.0,0.03217,P001_G4_EM_COEFFICIENTS,0.0321402177537773,0,4.0,4.0,0.0,-2.9782246222694042e-05,-0.0009257770041247761,-0.0925777004124776,-0.0009262058003223222
47,P001_INFINITE_MEDIUM_COEFFICIENT,NOT_APPLICABLE,5.0,none,none,0.0,0.02908,P001_G4_EM_COEFFICIENTS,0.0290826167472374,0,5.0,5.0,0.0,2.616747237397382e-06,8.998443044695262e-05,0.008998443044695261,8.998038209093935e-05
48,P001_INFINITE_MEDIUM_COEFFICIENT,NOT_APPLICABLE,6.0,none,none,0.0,0.02697,P001_G4_EM_COEFFICIENTS,0.0269520984657096,0,6.0,6.0,0.0,-1.790153429040084e-05,-0.000663757296640743,-0.06637572966407429,-0.0006639776810416865
49,P001_INFINITE_MEDIUM_COEFFICIENT,NOT_APPLICABLE,8.0,none,none,0.0,0.02432,P001_G4_EM_COEFFICIENTS,0.0243357526892725,0,8.0,8.0,0.0,1.575268927249754e-05,0.0006477257102178264,0.06477257102178265,0.0006475160264600777
50,P001_INFINITE_MEDIUM_COEFFICIENT,NOT_APPLICABLE,10.0,none,none,0.0,0.02278,P001_G4_EM_COEFFICIENTS,0.0227993452602263,0,10.0,10.0,0.0,1.9345260226299316e-05,0.000849221256641761,0.08492212566417609,0.0008488608722866793
51,P001_INFINITE_MEDIUM_COEFFICIENT,NOT_APPLICABLE,15.0,none,none,0.0,0.02096,P001_G4_EM_COEFFICIENTS,0.0209576421268174,0,15.0,15.0,0.0,-2.357873182600584e-06,-0.00011249394955155458,-0.011249394955155458,-0.00011250027747051101
52,P001_INFINITE_MEDIUM_COEFFICIENT,NOT_APPLICABLE,20.0,none,none,0.0,0.0203,P001_G4_EM_COEFFICIENTS,0.0203027630356899,0,20.0,20.0,0.0,2.7630356899017994e-06,0.0001361101325074778,0.01361101325074778,0.00013610087036382466
