source_file,extension,size_bytes,run_number,title,sample_name,start_time,end_time,proton_charge,good_frames
2000164/VESUVIO00042767_ICPdebug.txt,.txt,34710,42767,,,,,,
2000164/VESUVIO00042886_ICPdebug.txt,.txt,34691,42886,,,,,,
2000164/VESUVIO00042876.raw,.raw,12676096,42876,,,,,,
2000164/VESUVIO00042769_ICPdebug.txt,.txt,34871,42769,,,,,,
2000164/VESUVIO00042766_ICPalarm.txt,.txt,0,42766,,,,,,
2000164/VESUVIO00042871.raw,.raw,12037632,42871,,,,,,
2000164/VESUVIO00042767.log,.log,10412,42767,,,,,,
2000164/VESUVIO00042763.log,.log,21807,42763,,,,,,
2000164/VESUVIO00042870_ICPputlog.txt,.txt,9572,42870,,,,,,
2000164/VESUVIO00042768_ICPputlog.txt,.txt,18449,42768,,,,,,
2000164/VESUVIO00042770_ICPputlog.txt,.txt,18449,42770,,,,,,
2000164/VESUVIO00042762_ICPalarm.txt,.txt,0,42762,,,,,,
2000164/VESUVIO00042765_ICPalarm.txt,.txt,0,42765,,,,,,
2000164/VESUVIO00042764.log,.log,10548,42764,,,,,,
2000164/VESUVIO00042773.nxs,.nxs,15692742,42773,concrete 2.92g/cm3 1.10x4.95x4.95cm3 70.5g in Empty tank,,2020-10-06T20:47:29,2020-10-06T21:48:45,[30.007908 29.999458 30.002552 29.998493 30.00838  30.059654],132525.0
2000164/VESUVIO00042883.log,.log,9575,42883,,,,,,
2000164/VESUVIO00042771.raw,.raw,12743680,42771,,,,,,
2000164/VESUVIO00042879_ICPalarm.txt,.txt,0,42879,,,,,,
2000164/VESUVIO00042873_ICPevent.txt,.txt,3681,42873,,,,,,
2000164/VESUVIO00042763.nxs,.nxs,16154370,42763,concrete 2.36g/cm3 1.05x5.0x5.0cm3 58.9g in Empty tank,,2020-10-06T09:46:50,2020-10-06T10:48:33,[30.012093 29.997658 30.009508 30.000488 30.000118 30.048477],132662.0
2000164/VESUVIO00042764.raw,.raw,13528064,42764,,,,,,
2000164/VESUVIO00042881_ICPputlog.txt,.txt,18449,42881,,,,,,
2000164/VESUVIO00042874.log,.log,10735,42874,,,,,,
2000164/VESUVIO00042869.raw,.raw,12054528,42869,,,,,,
2000164/VESUVIO00042759_ICPevent.txt,.txt,8171,42759,,,,,,
2000164/VESUVIO00042885_ICPdebug.txt,.txt,34706,42885,,,,,,
2000164/VESUVIO00042757_ICPputlog.txt,.txt,48609,42757,,,,,,
2000164/VESUVIO00042886.nxs,.nxs,15637637,42886,concrete 2.44g/cm3 1.02x24.75cm3 60.26g in tank,,2020-10-15T05:40:43,2020-10-15T06:42:11,[30.017206 30.001253 30.002731 29.990845 30.001385 30.055534],133220.0
2000164/VESUVIO00042882_ICPputlog.txt,.txt,18449,42882,,,,,,
2000164/VESUVIO00042766.log,.log,12846,42766,,,,,,
2000164/VESUVIO00042760_ICPalarm.txt,.txt,0,42760,,,,,,
2000164/VESUVIO00042874_ICPputlog.txt,.txt,18449,42874,,,,,,
2000164/VESUVIO00042873_ICPdebug.txt,.txt,41358,42873,,,,,,
2000164/VESUVIO00042772_ICPalarm.txt,.txt,0,42772,,,,,,
2000164/VESUVIO00042874_ICPevent.txt,.txt,3401,42874,,,,,,
2000164/VESUVIO00042879_ICPdebug.txt,.txt,34783,42879,,,,,,
2000164/VESUVIO00042875_ICPevent.txt,.txt,3930,42875,,,,,,
2000164/VESUVIO00042763_ICPalarm.txt,.txt,0,42763,,,,,,
2000164/VESUVIO00042879_ICPputlog.txt,.txt,18449,42879,,,,,,
2000164/VESUVIO00042872.log,.log,6302,42872,,,,,,
2000164/VESUVIO00042758_ICPevent.txt,.txt,8477,42758,,,,,,
2000164/VESUVIO00042764.nxs,.nxs,16094551,42764,concrete 2.36g/cm3 1.05x5.0x5.0cm3 58.9g in Empty tank,,2020-10-06T10:48:43,2020-10-06T11:50:27,[30.010931 29.986773 30.012486 30.015762 29.980206 30.066765],132643.0
