reaction,rows
"82-PB-208(G,3N)82-PB-205,,SIG",32
"60-ND-146(G,2N)60-ND-144,,SIG",32
"32-GE-72(G,2N)32-GE-70,,SIG",32
"82-PB-0(G,X)0-NN-1,,SIG,,BRS",32
"34-SE-76(G,TOT),,SIG",32
"53-I-127(G,2N)53-I-125,,SIG,,BRS",32
"7-N-14(G,N+P)6-C-12,,SIG,,BRS",32
"29-CU-0(G,ABS),,SIG",32
"91-PA-231(G,F),,SIG,,BRS",32
"58-CE-0(G,2N),,SIG",31
"92-U-233(G,X)0-NN-1,,SIG,,BRS",31
"12-MG-24(G,X)0-NN-1,,SIG",31
"92-U-238(G,EL)92-U-238,,SIG",31
"32-GE-70(G,P)31-GA-69,,SIG,,BRS",31
"30-ZN-64(G,ABS),,SIG,,BRS",31
"74-W-0(G,2N),,SIG",31
"76-OS-189(G,3N)76-OS-186,,SIG",30
"94-PU-244(G,F),,SIG,,BRS",30
"9-F-19(G,N)9-F-18,PAR,SIG",30
"83-BI-209(G,TOT),,SIG",30
"3-LI-6(G,P)2-HE-5,,SIG,,BRS",30
"4-BE-9(G,N+A)2-HE-4,,SIG,,BRS",30
