source_file,size_bytes,data_rows,comment_rows,parse_errors,MF_values,MT_values,filename_projectile,filename_target,filename_reaction,filename_quantity,filename_distribution,filename_spectrum
c4/1/10037.042-n-Fe54-inl-adxc-angdisc-mon-Boschung_1971.c4,5827,30,55,0,[4],[51],n,Fe54,inl,adxc,angdisc,mon
c4/1/10037.047-n-Fe56-inl-adxc-angdisc-mon-Boschung_1971.c4,3866,19,40,0,[4],[51],n,Fe56,inl,adxc,angdisc,mon
c4/1/10037.049-n-Fe56-inl-adxc-angdisc-mon-Boschung_1971.c4,3866,19,40,0,[4],[51],n,Fe56,inl,adxc,angdisc,mon
c4/1/10037.051-n-Fe56-inl-adxc-angdisc-mon-Boschung_1971.c4,3866,19,40,0,[4],[51],n,Fe56,inl,adxc,angdisc,mon
c4/1/10037.053-n-Fe56-inl-adxc-angdisc-mon-Boschung_1971.c4,3866,19,40,0,[4],[51],n,Fe56,inl,adxc,angdisc,mon
c4/1/10037.059-n-Ni58-inl-adxc-angdisc-mon-Boschung_1971.c4,3999,20,40,0,[4],[51],n,Ni58,inl,adxc,angdisc,mon
c4/1/10037.061-n-Ni58-inl-adxc-angdisc-mon-Boschung_1971.c4,3999,20,40,0,[4],[51],n,Ni58,inl,adxc,angdisc,mon
c4/1/10037.063-n-Ni58-inl-adxc-angdisc-mon-Boschung_1971.c4,3999,20,40,0,[4],[51],n,Ni58,inl,adxc,angdisc,mon
c4/1/10037.067-n-Ni60-inl-adxc-angdisc-mon-Boschung_1971.c4,3999,20,40,0,[4],[51],n,Ni60,inl,adxc,angdisc,mon
c4/1/10037.073-n-Ni60-inl-adxc-angdisc-mon-Boschung_1971.c4,3999,20,40,0,[4],[51],n,Ni60,inl,adxc,angdisc,mon
c4/1/10042.002-n-Cl35-p-sig-excfun-mon-Sims_1969.c4,1016,1,25,0,[3],[103],n,Cl35,p,sig,excfun,mon
c4/1/10042.003-n-Cl35-p-sig-excfun-mxw-Sims_1969.c4,1021,1,25,0,[3],[103],n,Cl35,p,sig,excfun,mxw
c4/1/10042.005-n-Cl35-g-sig-excfun-mon-Sims_1969.c4,1018,1,25,0,[3],[102],n,Cl35,g,sig,excfun,mon
c4/1/10042.006-n-Cl35-g-sig-excfun-mxw-Sims_1969.c4,1023,1,25,0,[3],[102],n,Cl35,g,sig,excfun,mxw
c4/1/10043.009-n-Mg-inl-adxl-enedisl-mon-Mathur_1969.c4,1101,2,25,0,[4],[51],n,Mg,inl,adxl,enedisl,mon
c4/1/10043.016-n-Mn55-inl-adxl-enedisl-mon-Mathur_1969.c4,2953,16,25,0,[4],[51],n,Mn55,inl,adxl,enedisl,mon
c4/1/10044.002-n-H1-tot-sig-excfun-mon-Parker_1970.c4,1161,2,25,0,[3],[1],n,H1,tot,sig,excfun,mon
c4/1/10044.003-n-H2-tot-sig-excfun-mon-Parker_1970.c4,1161,2,25,0,[3],[1],n,H2,tot,sig,excfun,mon
c4/1/10045.063-n-Ge70-inl-sig-excfun-mon-Chung_1970.c4,2033,5,40,0,[3],[51],n,Ge70,inl,sig,excfun,mon
c4/1/10045.065-n-Ge72-inl-sig-excfun-mon-Chung_1970.c4,3579,9,70,0,[3],[51],n,Ge72,inl,sig,excfun,mon
c4/1/10045.069-n-Ge74-inl-sig-excfun-mon-Chung_1970.c4,5521,16,100,0,[3],[51],n,Ge74,inl,sig,excfun,mon
c4/1/10045.075-n-Ge76-inl-sig-excfun-mon-Chung_1970.c4,2165,6,40,0,[3],[51],n,Ge76,inl,sig,excfun,mon
c4/1/10046.032-n-Eu151-tot-sig-excfun-mon-Rahn_1972.c4,584205,4419,25,0,[3],[1],n,Eu151,tot,sig,excfun,mon
c4/1/10047.002-n-H1-tot-sig-excfun-mon-Foster%Jr_1971.c4,32211,238,24,0,[3],[1],n,H1,tot,sig,excfun,mon
c4/1/10047.004-n-Li-tot-sig-excfun-mon-Foster%Jr_1971.c4,32872,243,24,0,[3],[1],n,Li,tot,sig,excfun,mon
c4/1/10047.005-n-Li6-tot-sig-excfun-mon-Foster%Jr_1971.c4,32080,237,24,0,[3],[1],n,Li6,tot,sig,excfun,mon
c4/1/10047.006-n-Li7-tot-sig-excfun-mon-Foster%Jr_1971.c4,31948,236,24,0,[3],[1],n,Li7,tot,sig,excfun,mon
c4/1/10047.007-n-Be9-tot-sig-excfun-mon-Foster%Jr_1971.c4,34324,254,24,0,[3],[1],n,Be9,tot,sig,excfun,mon
c4/1/10047.008-n-B-tot-sig-excfun-mon-Foster%Jr_1971.c4,32871,243,24,0,[3],[1],n,B,tot,sig,excfun,mon
c4/1/10047.010-n-N14-tot-sig-excfun-mon-Foster%Jr_1971.c4,32608,241,24,0,[3],[1],n,N14,tot,sig,excfun,mon
c4/1/10047.011-n-O16-tot-sig-excfun-mon-Foster%Jr_1971.c4,32872,243,24,0,[3],[1],n,O16,tot,sig,excfun,mon
c4/1/10047.012-n-F19-tot-sig-excfun-mon-Foster%Jr_1971.c4,33004,244,24,0,[3],[1],n,F19,tot,sig,excfun,mon
c4/1/10047.013-n-Na23-tot-sig-excfun-mon-Foster%Jr_1971.c4,32875,243,24,0,[3],[1],n,Na23,tot,sig,excfun,mon
c4/1/10047.014-n-Mg-tot-sig-excfun-mon-Foster%Jr_1971.c4,33270,246,24,0,[3],[1],n,Mg,tot,sig,excfun,mon
c4/1/10047.015-n-Al27-tot-sig-excfun-mon-Foster%Jr_1971.c4,33139,245,24,0,[3],[1],n,Al27,tot,sig,excfun,mon
c4/1/10047.016-n-Si-tot-sig-excfun-mon-Foster%Jr_1971.c4,32874,243,24,0,[3],[1],n,Si,tot,sig,excfun,mon
c4/1/10047.017-n-P31-tot-sig-excfun-mon-Foster%Jr_1971.c4,32874,243,24,0,[3],[1],n,P31,tot,sig,excfun,mon
c4/1/10047.018-n-S-tot-sig-excfun-mon-Foster%Jr_1971.c4,33005,244,24,0,[3],[1],n,S,tot,sig,excfun,mon
c4/1/10047.019-n-Cl-tot-sig-excfun-mon-Foster%Jr_1971.c4,33402,247,24,0,[3],[1],n,Cl,tot,sig,excfun,mon
c4/1/10047.020-n-K-tot-sig-excfun-mon-Foster%Jr_1971.c4,33269,246,24,0,[3],[1],n,K,tot,sig,excfun,mon
c4/1/10047.021-n-Ca-tot-sig-excfun-mon-Foster%Jr_1971.c4,33006,244,24,0,[3],[1],n,Ca,tot,sig,excfun,mon
c4/1/10047.025-n-Sc45-tot-sig-excfun-mon-Foster%Jr_1971.c4,31951,236,24,0,[3],[1],n,Sc45,tot,sig,excfun,mon
c4/1/10047.026-n-Ti-tot-sig-excfun-mon-Foster%Jr_1971.c4,33798,250,24,0,[3],[1],n,Ti,tot,sig,excfun,mon
c4/1/10047.027-n-V51-tot-sig-excfun-mon-Foster%Jr_1971.c4,31686,234,24,0,[3],[1],n,V51,tot,sig,excfun,mon
c4/1/10047.028-n-Cr-tot-sig-excfun-mon-Foster%Jr_1971.c4,32478,240,24,0,[3],[1],n,Cr,tot,sig,excfun,mon
