energy_MeV,energy_keV,collision_stopping_power_MeV_cm2_g,radiative_stopping_power_MeV_cm2_g,total_stopping_power_MeV_cm2_g,csda_range_g_cm2,radiation_yield,density_effect_delta,material_id,material,density_g_cm3,mean_excitation_energy_eV,csda_range_cm,source,evidence_type,stopping_power_sum_error,stopping_power_sum_relative_error
0.07,70.0,4.315,0.006381,4.321,0.00945,0.0008375,0.0,144,"CONCRETE, PORTLAND",2.3,135.2,0.004108695652173914,NIST_ESTAR,EVALUATED_REFERENCE,-0.0003810000000008529,8.817403378867227e-05
0.08,80.0,3.948,0.006437,3.955,0.01187,0.0009269,0.0,144,"CONCRETE, PORTLAND",2.3,135.2,0.005160869565217392,NIST_ESTAR,EVALUATED_REFERENCE,0.0005630000000000912,0.0001423514538559017
0.09,90.0,3.659,0.006497,3.665,0.0145,0.001013,0.0,144,"CONCRETE, PORTLAND",2.3,135.2,0.006304347826086958,NIST_ESTAR,EVALUATED_REFERENCE,-0.0004969999999997476,0.00013560709413362826
0.1,100.0,3.425,0.00656,3.431,0.01732,0.001096,0.0,144,"CONCRETE, PORTLAND",2.3,135.2,0.007530434782608696,NIST_ESTAR,EVALUATED_REFERENCE,-0.0005599999999996719,0.00016321772078101775
0.125,125.0,2.996,0.006733,3.003,0.02514,0.001292,0.0,144,"CONCRETE, PORTLAND",2.3,135.2,0.010930434782608696,NIST_ESTAR,EVALUATED_REFERENCE,0.0002670000000000172,8.891108891109465e-05
0.15,150.0,2.706,0.006925,2.713,0.03393,0.001477,0.0,144,"CONCRETE, PORTLAND",2.3,135.2,0.01475217391304348,NIST_ESTAR,EVALUATED_REFERENCE,7.50000000002693e-05,2.7644673792948504e-05
0.175,175.0,2.498,0.007134,2.505,0.04353,0.001652,0.0,144,"CONCRETE, PORTLAND",2.3,135.2,0.018926086956521742,NIST_ESTAR,EVALUATED_REFERENCE,-0.0001340000000005226,5.349301397226451e-05
0.2,200.0,2.341,0.007357,2.349,0.05385,0.001819,0.0,144,"CONCRETE, PORTLAND",2.3,135.2,0.023413043478260873,NIST_ESTAR,EVALUATED_REFERENCE,0.0006430000000001712,0.00027373350361863395
0.25,250.0,2.124,0.007843,2.132,0.07627,0.002137,0.0,144,"CONCRETE, PORTLAND",2.3,135.2,0.033160869565217396,NIST_ESTAR,EVALUATED_REFERENCE,0.00015700000000018477,7.363977485937372e-05
0.3,300.0,1.982,0.008377,1.99,0.1006,0.002438,0.0,144,"CONCRETE, PORTLAND",2.3,135.2,0.04373913043478261,NIST_ESTAR,EVALUATED_REFERENCE,-0.0003770000000000717,0.00018944723618094056
0.35,350.0,1.883,0.008952,1.892,0.1264,0.002728,0.0008781,144,"CONCRETE, PORTLAND",2.3,135.2,0.054956521739130446,NIST_ESTAR,EVALUATED_REFERENCE,4.799999999982596e-05,2.5369978858258965e-05
0.4,400.0,1.811,0.009563,1.82,0.1534,0.003011,0.01827,144,"CONCRETE, PORTLAND",2.3,135.2,0.06669565217391306,NIST_ESTAR,EVALUATED_REFERENCE,-0.0005629999999998692,0.00030934065934058746
0.45,450.0,1.756,0.01021,1.766,0.1813,0.00329,0.03821,144,"CONCRETE, PORTLAND",2.3,135.2,0.07882608695652174,NIST_ESTAR,EVALUATED_REFERENCE,-0.00021000000000004349,0.00011891279728201783
0.5,500.0,1.714,0.01088,1.725,0.2099,0.003565,0.05986,144,"CONCRETE, PORTLAND",2.3,135.2,0.0912608695652174,NIST_ESTAR,EVALUATED_REFERENCE,0.00012000000000012001,6.956521739137392e-05
0.55,550.0,1.681,0.01159,1.693,0.2392,0.003839,0.08276,144,"CONCRETE, PORTLAND",2.3,135.2,0.10400000000000001,NIST_ESTAR,EVALUATED_REFERENCE,0.00041000000000002146,0.0002421736562315543
0.6,600.0,1.655,0.01231,1.668,0.269,0.004112,0.1066,144,"CONCRETE, PORTLAND",2.3,135.2,0.11695652173913045,NIST_ESTAR,EVALUATED_REFERENCE,0.0006899999999998574,0.00041366906474811597
0.7,700.0,1.618,0.01383,1.632,0.3296,0.004657,0.1562,144,"CONCRETE, PORTLAND",2.3,135.2,0.14330434782608698,NIST_ESTAR,EVALUATED_REFERENCE,0.00016999999999978144,0.00010416666666653275
0.8,800.0,1.593,0.01543,1.609,0.3914,0.005204,0.2072,144,"CONCRETE, PORTLAND",2.3,135.2,0.1701739130434783,NIST_ESTAR,EVALUATED_REFERENCE,0.0005699999999999594,0.00035425730267244214
0.9,900.0,1.577,0.01709,1.594,0.4539,0.005754,0.2587,144,"CONCRETE, PORTLAND",2.3,135.2,0.19734782608695656,NIST_ESTAR,EVALUATED_REFERENCE,-8.999999999992347e-05,5.646173149305111e-05
1.0,1000.0,1.566,0.01882,1.585,0.5168,0.006308,0.3102,144,"CONCRETE, PORTLAND",2.3,135.2,0.22469565217391307,NIST_ESTAR,EVALUATED_REFERENCE,0.00017999999999984695,0.00011356466876961953
1.25,1250.0,1.553,0.02339,1.577,0.6751,0.007716,0.4363,144,"CONCRETE, PORTLAND",2.3,135.2,0.29352173913043483,NIST_ESTAR,EVALUATED_REFERENCE,0.0006099999999999994,0.0003868103994927073
1.5,1500.0,1.551,0.02828,1.58,0.8335,0.009157,0.5566,144,"CONCRETE, PORTLAND",2.3,135.2,0.3623913043478261,NIST_ESTAR,EVALUATED_REFERENCE,0.0007200000000000539,0.0004556962025316797
1.75,1750.0,1.555,0.03342,1.588,0.9914,0.01063,0.6704,144,"CONCRETE, PORTLAND",2.3,135.2,0.4310434782608696,NIST_ESTAR,EVALUATED_REFERENCE,-0.0004199999999998649,0.0002644836272039452
