run_id,off_axis_cm,energy_lower_MeV,energy_upper_MeV,response_value,response_sigma,controlled_geometry_family_id,source_normalization_id,source_proton_MeV,shield_thickness_cm,response_unit
CTRL_JAERI43_T000,0,1.3935905818485126e-06,1.783629661603696e-06,0.0,0.0,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,1.783629661603696e-06,2.2828331442457534e-06,0.0,0.0,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,2.2828331442457534e-06,2.9217540370916224e-06,0.0,0.0,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,2.9217540370916224e-06,3.739496543923572e-06,0.0,0.0,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,3.739496543923572e-06,4.7861093796711856e-06,0.0,0.0,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,4.7861093796711856e-06,6.1256489276339936e-06,0.0,0.0,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,6.1256489276339936e-06,7.840099715230813e-06,0.0,0.0,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,7.840099715230813e-06,1.0034392155167725e-05,0.0,0.0,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,1.0034392155167725e-05,1.2842824655416706e-05,0.0,0.0,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,1.2842824655416706e-05,1.6437283153702097e-05,0.1445923963143031,0.1445923963143031,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
