keywords,text
channel,2021-05-09T01:29:03 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-09T01:29:03 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-09T01:29:03 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-09T02:33:44 Programming Time channels
channel,2021-05-09T02:33:44 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-09T02:33:44 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-09T02:33:44 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-09T03:38:26 Programming Time channels
channel,2021-05-09T03:38:26 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-09T03:38:26 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-09T03:38:26 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-09T04:43:10 Programming Time channels
channel,2021-05-09T04:43:10 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-09T04:43:10 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-09T04:43:10 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-09T05:47:53 Programming Time channels
channel,2021-05-09T05:47:53 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-09T05:47:53 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-09T05:47:53 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-09T06:52:38 Programming Time channels
channel,2021-05-09T06:52:38 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-09T06:52:38 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-09T06:52:38 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-09T07:57:23 Programming Time channels
channel,2021-05-09T07:57:23 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-09T07:57:23 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-09T07:57:23 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-09T09:02:08 Programming Time channels
channel,2021-05-09T09:02:08 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-09T09:02:08 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
