run_number,path,shape,dtype,size,value,matching_attributes,role
44749,raw_data_1/runlog/monitor_sum_1/value,"(46,)",int32,46,"[1267549, 1267549, 1267549, 1267549, 1267549, 1267549, 1267549, 1267549, 1267549, 1267549, 1267549, 1267549, 1267549, 1267549, 1267549, 1267549, 1267549, 1267549, 1267549, 1267549, 1267549, 1267549, 1267549, 1267549, 1267549, 1267549, 1267549, 1267549, 1267549, 1267549, 1267549, 74817, 164123, 253561, 342948, 432815, 522305, 611865, 701343, 791243, 880848, 970270, 1059220, 1148337, 1238217, 1253238]",,concrete_sample_3M
44749,raw_data_1/sample/distance,"(1,)",float64,1,[0.0],,concrete_sample_3M
44749,raw_data_1/sample/height,"(1,)",float32,1,[0.0],,concrete_sample_3M
44749,raw_data_1/sample/id,"(1,)",|S1,1,[ ],,concrete_sample_3M
44749,raw_data_1/sample/name,"(1,)",|S1,1,[ ],,concrete_sample_3M
44749,raw_data_1/sample/shape,"(1,)",|S1,1,[ ],,concrete_sample_3M
44749,raw_data_1/sample/thickness,"(1,)",float32,1,[0.0],,concrete_sample_3M
44749,raw_data_1/sample/type,"(1,)",|S1,1,[ ],,concrete_sample_3M
44749,raw_data_1/sample/width,"(1,)",float32,1,[0.0],,concrete_sample_3M
44749,raw_data_1/selog/Sample/read_control,"(1,)",|S1,1,[ ],,concrete_sample_3M
44749,raw_data_1/selog/Sample/set_control,"(1,)",|S1,1,[ ],,concrete_sample_3M
44749,raw_data_1/selog/Sample/setpoint,"(1,)",float32,1,[0.0],,concrete_sample_3M
44749,raw_data_1/selog/Sample/setpoint_spread,"(1,)",float32,1,[0.0],,concrete_sample_3M
44749,raw_data_1/selog/Sample/value,"(1,)",float32,1,[829.4179],,concrete_sample_3M
44749,raw_data_1/selog/Sample/value_log/alarm_severity,"(1, 1)",|S4,1,[NONE],,concrete_sample_3M
44749,raw_data_1/selog/Sample/value_log/alarm_status,"(1, 1)",|S8,1,[NO_ALARM],,concrete_sample_3M
44749,raw_data_1/selog/Sample/value_log/alarm_time,"(1,)",float32,1,[2.0],,concrete_sample_3M
44749,raw_data_1/selog/Sample/value_log/name,"(1,)",|S1,1,[ ],,concrete_sample_3M
44749,raw_data_1/selog/Sample/value_log/time,"(2,)",float32,2,"[2.0, 426.0]",,concrete_sample_3M
44749,raw_data_1/selog/Sample/value_log/value,"(2,)",float32,2,"[829.4179, 829.4179]",,concrete_sample_3M
44749,raw_data_1/selog/Sample/value_log/value_valid,"(2,)",int32,2,"[1, 1]",,concrete_sample_3M
44749,raw_data_1/selog/Sample/value_spread,"(1,)",float32,1,[0.0],,concrete_sample_3M
44749,raw_data_1/selog/Sample/vi_name,"(1,)",|S1,1,[ ],,concrete_sample_3M
44749,raw_data_1/selog/Water_Bath_Temp/read_control,"(1,)",|S1,1,[ ],,concrete_sample_3M
44749,raw_data_1/selog/Water_Bath_Temp/set_control,"(1,)",|S1,1,[ ],,concrete_sample_3M
44749,raw_data_1/selog/Water_Bath_Temp/setpoint,"(1,)",float32,1,[0.0],,concrete_sample_3M
44749,raw_data_1/selog/Water_Bath_Temp/setpoint_spread,"(1,)",float32,1,[0.0],,concrete_sample_3M
44749,raw_data_1/selog/Water_Bath_Temp/value,"(1,)",float32,1,[20.16],,concrete_sample_3M
44749,raw_data_1/selog/Water_Bath_Temp/value_log/alarm_severity,"(1, 1)",|S4,1,[NONE],,concrete_sample_3M
44749,raw_data_1/selog/Water_Bath_Temp/value_log/alarm_status,"(1, 1)",|S8,1,[NO_ALARM],,concrete_sample_3M
44749,raw_data_1/selog/Water_Bath_Temp/value_log/alarm_time,"(1,)",float32,1,[-584.0],,concrete_sample_3M
44749,raw_data_1/selog/Water_Bath_Temp/value_log/name,"(1,)",|S1,1,[ ],,concrete_sample_3M
44749,raw_data_1/selog/Water_Bath_Temp/value_log/time,"(8,)",float32,8,"[-584.0, -554.0, -532.0, -14.0, 2.0, 90.0, 111.0, 426.0]",,concrete_sample_3M
44749,raw_data_1/selog/Water_Bath_Temp/value_log/value,"(8,)",float32,8,"[20.15, 20.14, 20.15, 20.16, 20.16, 20.15, 20.16, 20.16]",,concrete_sample_3M
44749,raw_data_1/selog/Water_Bath_Temp/value_log/value_valid,"(8,)",int32,8,"[1, 1, 1, 1, 1, 1, 1, 1]",,concrete_sample_3M
44749,raw_data_1/selog/Water_Bath_Temp/value_spread,"(1,)",float32,1,[0.0],,concrete_sample_3M
44749,raw_data_1/selog/Water_Bath_Temp/vi_name,"(1,)",|S1,1,[ ],,concrete_sample_3M
44749,raw_data_1/title,"(1,)",|S45,1,[Concrete sample 3M (163.72g) in tank with GEM],,concrete_sample_3M
