run_number,path,shape,dtype,size,role
44712,raw_data_1/selog/BackFoil/setpoint_spread,"(1,)",float32,1,early_empty_control
44712,raw_data_1/selog/BackFoil/value,"(1,)",float32,1,early_empty_control
44712,raw_data_1/selog/BackFoil/value_log/alarm_severity,"(1, 1)",|S4,1,early_empty_control
44712,raw_data_1/selog/BackFoil/value_log/alarm_status,"(1, 1)",|S8,1,early_empty_control
44712,raw_data_1/selog/BackFoil/value_log/alarm_time,"(1,)",float32,1,early_empty_control
44712,raw_data_1/selog/BackFoil/value_log/name,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/selog/BackFoil/value_log/time,"(2,)",float32,2,early_empty_control
44712,raw_data_1/selog/BackFoil/value_log/value,"(2,)",float32,2,early_empty_control
44712,raw_data_1/selog/BackFoil/value_log/value_valid,"(2,)",int32,2,early_empty_control
44712,raw_data_1/selog/BackFoil/value_spread,"(1,)",float32,1,early_empty_control
44712,raw_data_1/selog/BackFoil/vi_name,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/selog/Beam_Current/read_control,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/selog/Beam_Current/set_control,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/selog/Beam_Current/setpoint,"(1,)",float32,1,early_empty_control
44712,raw_data_1/selog/Beam_Current/setpoint_spread,"(1,)",float32,1,early_empty_control
44712,raw_data_1/selog/Beam_Current/value,"(1,)",float32,1,early_empty_control
44712,raw_data_1/selog/Beam_Current/value_log/alarm_severity,"(1, 1)",|S4,1,early_empty_control
44712,raw_data_1/selog/Beam_Current/value_log/alarm_status,"(1, 1)",|S8,1,early_empty_control
44712,raw_data_1/selog/Beam_Current/value_log/alarm_time,"(1,)",float32,1,early_empty_control
44712,raw_data_1/selog/Beam_Current/value_log/name,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/selog/Beam_Current/value_log/time,"(25,)",float32,25,early_empty_control
44712,raw_data_1/selog/Beam_Current/value_log/value,"(25,)",float32,25,early_empty_control
44712,raw_data_1/selog/Beam_Current/value_log/value_valid,"(25,)",int32,25,early_empty_control
44712,raw_data_1/selog/Beam_Current/value_spread,"(1,)",float32,1,early_empty_control
44712,raw_data_1/selog/Beam_Current/vi_name,"(1,)",|S1,1,early_empty_control
