Omega,K,radiation_locking,uniform_baseline_locking,locking_excess
0.9767441860465116,0.5844823541562406,0.55,0.675,-0.125
1.0,0.5844823541562406,0.6891666666666667,0.7483333333333333,-0.05916666666666659
0.0,0.8767235312343609,0.9983333333333333,1.0,-0.0016666666666667052
0.023255813953488372,0.8767235312343609,0.9958333333333333,0.9975,-0.0016666666666667052
0.046511627906976744,0.8767235312343609,0.9916666666666667,0.9958333333333333,-0.004166666666666652
0.06976744186046512,0.8767235312343609,0.9875,0.9908333333333333,-0.0033333333333332993
0.09302325581395349,0.8767235312343609,0.9491666666666667,0.9533333333333334,-0.004166666666666652
0.11627906976744186,0.8767235312343609,0.24666666666666667,0.35833333333333334,-0.11166666666666666
0.13953488372093023,0.8767235312343609,0.0008333333333333334,0.0008333333333333334,0.0
0.16279069767441862,0.8767235312343609,0.0,0.0,0.0
0.18604651162790697,0.8767235312343609,0.0,0.0,0.0
0.20930232558139533,0.8767235312343609,0.0,0.0,0.0
0.23255813953488372,0.8767235312343609,0.0,0.0,0.0
0.2558139534883721,0.8767235312343609,0.0,0.0,0.0
0.27906976744186046,0.8767235312343609,0.0,0.0,0.0
0.3023255813953488,0.8767235312343609,0.0,0.0,0.0
0.32558139534883723,0.8767235312343609,0.0,0.0,0.0
0.3488372093023256,0.8767235312343609,0.0,0.0,0.0
0.37209302325581395,0.8767235312343609,0.0,0.0,0.0
0.3953488372093023,0.8767235312343609,0.0,0.0,0.0
0.41860465116279066,0.8767235312343609,0.0,0.0,0.0
0.4418604651162791,0.8767235312343609,0.0,0.0,0.0
0.46511627906976744,0.8767235312343609,0.0,0.0,0.0
0.4883720930232558,0.8767235312343609,0.0,0.0,0.0
0.5116279069767442,0.8767235312343609,0.0,0.0,0.0
0.5348837209302325,0.8767235312343609,0.0,0.0,0.0
0.5581395348837209,0.8767235312343609,0.0,0.0,0.0
0.5813953488372093,0.8767235312343609,0.0,0.0,0.0
0.6046511627906976,0.8767235312343609,0.0,0.0,0.0
0.627906976744186,0.8767235312343609,0.0,0.0,0.0
0.6511627906976745,0.8767235312343609,0.0,0.0,0.0
0.6744186046511628,0.8767235312343609,0.0,0.0,0.0
0.6976744186046512,0.8767235312343609,0.0,0.0,0.0
0.7209302325581395,0.8767235312343609,0.0,0.0,0.0
0.7441860465116279,0.8767235312343609,0.0,0.0,0.0
0.7674418604651163,0.8767235312343609,0.0,0.0,0.0
0.7906976744186046,0.8767235312343609,0.0,0.0,0.0
0.813953488372093,0.8767235312343609,0.0,0.0,0.0
0.8372093023255813,0.8767235312343609,0.0,0.0,0.0
0.8604651162790697,0.8767235312343609,0.0008333333333333334,0.0008333333333333334,0.0
0.8837209302325582,0.8767235312343609,0.2841666666666667,0.35833333333333334,-0.07416666666666666
0.9069767441860465,0.8767235312343609,0.9266666666666666,0.9533333333333334,-0.026666666666666727
0.9302325581395349,0.8767235312343609,0.9916666666666667,0.9908333333333333,0.0008333333333333526
0.9534883720930233,0.8767235312343609,0.995,0.9958333333333333,-0.0008333333333333526
0.9767441860465116,0.8767235312343609,1.0,0.9975,0.0024999999999999467
1.0,0.8767235312343609,0.9983333333333333,1.0,-0.0016666666666667052
0.0,1.1689647083124812,1.0,1.0,0.0
0.023255813953488372,1.1689647083124812,0.9991666666666666,0.9991666666666666,0.0
0.046511627906976744,1.1689647083124812,0.9983333333333333,1.0,-0.0016666666666667052
0.06976744186046512,1.1689647083124812,1.0,1.0,0.0
0.09302325581395349,1.1689647083124812,1.0,1.0,0.0
0.11627906976744186,1.1689647083124812,1.0,0.9991666666666666,0.0008333333333333526
0.13953488372093023,1.1689647083124812,0.9958333333333333,0.995,0.0008333333333333526
0.16279069767441862,1.1689647083124812,0.95,0.9191666666666667,0.030833333333333268
0.18604651162790697,1.1689647083124812,0.0008333333333333334,0.0008333333333333334,0.0
