curve,observable,ensemble_group,embedding_dimension,nn_distance_entropy_raw_bits,nn_distance_entropy_theiler_bits,nn_distance_entropy_theiler2_bits,theiler_sensitivity_bits,theiler_window,nearest_distance_mean_theiler,nearest_distance_cv_theiler,adjacent_neighbor_fraction_raw,n_points,raw_quality_status
rxn_27_59_812,cross_section_barn,reaction_cross_sections,5,2.448064459178619,2.358402331314164,2.2587256054130345,0.09967672590112953,5,1682.024998339148,1.9744673177855607,0.9921259842519685,127,sampling_geometry_dominated
rxn_27_59_812,cross_section_barn,reaction_cross_sections,6,2.4728901054533448,2.3886406861292233,2.2853365112598714,0.10330417486935195,6,2220.404420136809,1.9770257246275058,0.9920634920634921,126,sampling_geometry_dominated
rxn_27_59_812,cross_section_barn,reaction_cross_sections,7,2.4785626021611913,2.450068776520146,2.357417411516757,0.09265136500338889,7,2788.788882252835,1.9713472829331788,0.992,125,sampling_geometry_dominated
rxn_27_59_812,cross_section_barn,reaction_cross_sections,8,2.5626850181101943,2.485262255463903,2.3993718783569995,0.0858903771069035,8,3376.660534109931,1.9592533159550582,0.9919354838709677,124,sampling_geometry_dominated
rxn_27_59_812,cross_section_barn,reaction_cross_sections,9,2.631430427188983,2.5694057394022085,2.4292765150807454,0.14012922432146313,9,3974.314601916729,1.9410807166267456,0.991869918699187,123,sampling_geometry_dominated
rxn_27_59_812,cross_section_barn,reaction_cross_sections,10,2.711005975759625,2.5659083613895066,2.4304289339728733,0.13547942741663332,10,4561.5285549818145,1.9170170451651976,0.9918032786885246,122,sampling_geometry_dominated
rxn_27_59_832,cross_section_barn,reaction_cross_sections,2,2.14014624335463,2.0776462433546294,1.849966811237046,0.22767943211758346,2,1377.150844149283,2.0930229572857417,0.8229166666666666,96,sampling_geometry_dominated
rxn_27_59_832,cross_section_barn,reaction_cross_sections,3,2.1072506272254414,2.057199179834247,1.919279832664515,0.13791934716973175,3,2759.4505046450927,2.116050029240952,0.9789473684210527,95,sampling_geometry_dominated
rxn_27_59_832,cross_section_barn,reaction_cross_sections,4,2.182992980638723,2.073794443335634,2.0790318228777807,0.005237379542146758,4,4393.721561821764,2.1299550845671282,0.9893617021276596,94,sampling_geometry_dominated
rxn_27_59_832,cross_section_barn,reaction_cross_sections,5,2.2729772250632627,2.0909340865938226,2.074826948066803,0.016107138527019504,5,6134.908996938412,2.1162662666298333,0.989247311827957,93,sampling_geometry_dominated
rxn_27_59_832,cross_section_barn,reaction_cross_sections,6,2.4022557468832497,2.2028035320969375,2.1734663544373065,0.029337177659630953,6,7891.718185977709,2.0888548293960936,0.9891304347826086,92,sampling_geometry_dominated
rxn_27_59_832,cross_section_barn,reaction_cross_sections,7,2.4509998793341405,2.3329038847465013,2.2295141711584963,0.10338971358800508,7,9589.941504736114,2.0484146089852784,0.989010989010989,91,sampling_geometry_dominated
rxn_27_59_832,cross_section_barn,reaction_cross_sections,8,2.55276659389009,2.352632373068569,2.2859657064019028,0.06666666666666643,8,11159.320105621837,1.9968741333773337,0.9888888888888889,90,sampling_geometry_dominated
rxn_27_59_832,cross_section_barn,reaction_cross_sections,9,2.588466429422698,2.4326904263089584,2.3877466060842396,0.04494382022471877,9,12640.18730982702,1.93881451487283,0.9887640449438202,89,sampling_geometry_dominated
rxn_27_59_832,cross_section_barn,reaction_cross_sections,10,2.73762692978513,2.490913228756005,2.490913228756005,0.0,10,14091.914303099678,1.8789916727188236,0.9886363636363636,88,sampling_geometry_dominated
